hom1 Gm09 3355894 3358704
hom1 AtChr1 8500451 8501520
hom2 Gm09 3324069 3325408
hom2 AtChr1 8500451 8501520
hom3 Gm17 2209761 2210757
hom3 AtChr1 8500451 8501520
hom4 Gm15 12027874 12030451
hom4 AtChr1 8500451 8501520
hom5 Gm17 2216684 2217891
hom5 AtChr1 8500451 8501520
hom6 Gm17 2222082 2229478
hom6 AtChr1 8500451 8501520
hom7 Gm07 42385073 42386145
hom7 AtChr1 8500451 8501520
hom8 Gm17 2222082 2229478
hom8 AtChr1 8500451 8501520
hom9 Gm17 2222082 2229478
hom9 AtChr1 8500451 8501520
hom10 Gm07 42385073 42386145
hom10 AtChr1 8500451 8501520
hom11 Gm07 42389941 42390891
hom11 AtChr1 8500451 8501520
hom12 Gm15 12036464 12037517
hom12 AtChr1 8500451 8501520
hom13 Gm07 42385073 42386145
hom13 AtChr1 8500451 8501520
hom14 Gm15 12012733 12014126
hom14 AtChr1 8500451 8501520
hom15 Gm15 12012733 12014126
hom15 AtChr1 8500451 8501520
hom16 Gm17 2225146 2226169
hom16 AtChr1 8500451 8501520
hom17 Gm07 42398509 42399446
hom17 AtChr1 8500451 8501520
hom18 Gm07 42409918 42410940
hom18 AtChr1 8500451 8501520
hom19 Gm15 11972796 11974263
hom19 AtChr1 8500451 8501520
hom20 Gm17 2222082 2229478
hom20 AtChr1 8500451 8501520
hom21 Gm10 38081908 38084092
hom21 AtChr1 21043348 21044738
hom22 Gm19 48133418 48135318
hom22 AtChr1 21043348 21044738
hom23 Gm20 45796596 45798670
hom23 AtChr1 21043348 21044738
hom24 Gm10 38081908 38084092
hom24 AtChr1 21043348 21044738
hom25 Gm03 45516696 45518511
hom25 AtChr1 21043348 21044738
hom26 Gm10 38081908 38084092
hom26 AtChr1 21043348 21044738
hom27 Gm20 45796596 45798670
hom27 AtChr1 21043348 21044738
hom28 Gm20 45796596 45798670
hom28 AtChr1 21043348 21044738
hom29 Gm20 45796596 45798670
hom29 AtChr1 21043348 21044738
hom30 Gm19 48133418 48135318
hom30 AtChr1 21043348 21044738
hom31 Gm10 38081908 38084092
hom31 AtChr1 21043348 21044738
hom32 Gm19 48133418 48135318
hom32 AtChr1 21043348 21044738
hom33 Gm19 48133418 48135318
hom33 AtChr1 21043348 21044738
hom34 Gm15 12727396 12728922
hom34 AtChr5 2520169 2521546
hom35 Gm09 3897868 3898910
hom35 AtChr5 2520169 2521546
hom36 Gm07 42795192 42797302
hom36 AtChr5 2520169 2521546
hom37 Gm15 12709349 12712882
hom37 AtChr5 2520169 2521546
hom38 Gm15 12727396 12728922
hom38 AtChr5 2520169 2521546
hom39 Gm15 12709349 12712882
hom39 AtChr5 2520169 2521546
hom40 Gm15 12703966 12705851
hom40 AtChr5 2520169 2521546
hom41 Gm15 12697385 12699962
hom41 AtChr5 2520169 2521546
hom42 Gm17 1849451 1850136
hom42 AtChr5 2520169 2521546
hom43 Gm15 12716548 12718022
hom43 AtChr5 2520169 2521546
hom44 Gm17 2000254 2006086
hom44 AtChr4 9012645 9016116
hom45 Gm07 42636285 42643113
hom45 AtChr4 9012645 9016116
hom46 Gm07 42636285 42643113
hom46 AtChr4 9012645 9016116
hom47 Gm09 3750785 3756168
hom47 AtChr4 9012645 9016116
hom48 Gm07 42636285 42643113
hom48 AtChr4 9012645 9016116
hom49 Gm07 42636285 42643113
hom49 AtChr4 9012645 9016116
hom50 Gm07 42636285 42643113
hom50 AtChr4 9012645 9016116
hom51 Gm15 12214018 12217498
hom51 AtChr4 9012645 9016116
hom52 Gm17 2000254 2006086
hom52 AtChr4 9012645 9016116
hom53 Gm02 1419787 1422844
hom53 AtChr3 5708925 5710579
hom54 Gm10 1466839 1468716
hom54 AtChr3 5708925 5710579
hom55 Gm19 46544712 46546730
hom55 AtChr3 5708925 5710579
hom56 Gm19 46544712 46546730
hom56 AtChr3 5708925 5710579
hom57 Gm02 1424390 1426245
hom57 AtChr3 5708925 5710579
hom58 Gm10 1462725 1464831
hom58 AtChr3 5708925 5710579
hom59 Gm19 46544712 46546730
hom59 AtChr3 5708925 5710579
hom60 Gm03 44071967 44073982
hom60 AtChr3 5708925 5710579
hom61 Gm10 38130142 38132319
hom61 AtChr3 5669373 5670842
hom62 Gm09 3730498 3732572
hom62 AtChr3 5669373 5670842
